1. symbol,2. name,3. fcas rating,4. fcas score,5. developer score,6. market maturity score,7. utility score,8. last refreshed,9. timezone
1ST,FirstBlood,Fragile,494,345,635,652,2021-04-26 00:00:00,UTC
ABT,Arcblock,Fragile,459,682,778,120,2021-04-26 00:00:00,UTC
ADA,Cardano,Superb,957,964,859,969,2021-04-26 00:00:00,UTC
ADT,adToken,Fragile,251,220,326,275,2021-04-26 00:00:00,UTC
ADX,AdEx,Fragile,469,522,794,340,2021-04-26 00:00:00,UTC
AE,Aeternity,Basic,710,901,762,462,2021-04-26 00:00:00,UTC
AEON,Aeon,Fragile,386,417,566,312,2021-04-26 00:00:00,UTC
AGI,SingularityNET,Attractive,769,768,802,765,2021-04-26 00:00:00,UTC
AION,Aion,Caution,559,485,814,602,2021-04-26 00:00:00,UTC
ALIS,ALIS,Fragile,232,357,200,84,2021-04-26 00:00:00,UTC
ANT,Aragon,Basic,683,826,842,474,2021-04-26 00:00:00,UTC
APPC,AppCoins,Fragile,335,254,755,355,2021-04-26 00:00:00,UTC
ARDR,Ardor,Fragile,487,450,839,465,2021-04-26 00:00:00,UTC
ARK,Ark,Attractive,769,921,800,575,2021-04-26 00:00:00,UTC
ARN,Aeron,Fragile,132,207,200,26,2021-04-26 00:00:00,UTC
AST,AirSwap,Caution,647,681,724,591,2021-04-26 00:00:00,UTC
ATM,ATMChain,Fragile,113,180,77,37,2021-04-26 00:00:00,UTC
BAT,Basic Attention Token,Attractive,822,746,885,904,2021-04-26 00:00:00,UTC
BCH,Bitcoin Cash,Attractive,849,761,872,955,2021-04-26 00:00:00,UTC
BCN,Bytecoin,Fragile,233,199,565,212,2021-04-26 00:00:00,UTC
BCPT,BlockMason Credit Protocol,Fragile,154,175,447,66,2021-04-26 00:00:00,UTC
BEE,Bee Token,Fragile,115,180,77,42,2021-04-26 00:00:00,UTC
BET,DAO.Casino,Fragile,284,488,200,47,2021-04-26 00:00:00,UTC
BFT,BnkToTheFuture,Fragile,229,325,568,224,2021-04-26 00:00:00,UTC
BIX,Bibox Token,Fragile,172,400,736,52,2021-04-26 00:00:00,UTC
BLK,BlackCoin,Fragile,240,145,671,275,2021-04-26 00:00:00,UTC
BLOCK,Blocknet,Caution,521,725,482,275,2021-04-26 00:00:00,UTC
BLZ,Bluzelle,Caution,547,581,870,442,2021-04-26 00:00:00,UTC
BMC,Blackmoon,Fragile,126,250,235,39,2021-04-26 00:00:00,UTC
BNB,Binance Coin,Attractive,820,706,869,952,2021-04-26 00:00:00,UTC
BNT,Bancor,Attractive,851,806,878,903,2021-04-26 00:00:00,UTC
BRD,Bread,Caution,547,631,718,410,2021-04-26 00:00:00,UTC
BTC,Bitcoin,Attractive,884,825,879,959,2021-04-26 00:00:00,UTC
BTCP,Bitcoin Private,Fragile,375,468,370,262,2021-04-26 00:00:00,UTC
BTG,Bitcoin Gold,Caution,567,430,826,688,2021-04-26 00:00:00,UTC
BTM,Bytom,Caution,637,691,863,526,2021-04-26 00:00:00,UTC
BTS,BitShares,Basic,694,758,827,588,2021-04-26 00:00:00,UTC
BTX,Bitcoin X,Fragile,419,550,258,287,2021-04-26 00:00:00,UTC
BURST,Burst,Caution,610,798,571,384,2021-04-26 00:00:00,UTC
C20,CRYPTO20,Fragile,465,312,539,640,2021-04-26 00:00:00,UTC
CAT,BitClave,Fragile,201,318,94,78,2021-04-26 00:00:00,UTC
CDT,Blox,Fragile,242,325,726,226,2021-04-26 00:00:00,UTC
CLAM,Clams,Fragile,209,165,225,262,2021-04-26 00:00:00,UTC
CMT,Comet,Fragile,159,425,735,22,2021-04-26 00:00:00,UTC
CND,Cindicator,Fragile,356,194,701,490,2021-04-26 00:00:00,UTC
CNX,Cryptonex,Fragile,169,138,217,200,2021-04-26 00:00:00,UTC
COFI,CoinFi,Fragile,189,257,554,34,2021-04-26 00:00:00,UTC
CREDO,Credo,Fragile,111,180,86,31,2021-04-26 00:00:00,UTC
CRW,Crown,Fragile,344,161,479,546,2021-04-26 00:00:00,UTC
CTXC,Cortex,Fragile,434,707,790,26,2021-04-26 00:00:00,UTC
CVC,Civic,Attractive,760,745,796,771,2021-04-26 00:00:00,UTC
DASH,Dash,Attractive,845,795,851,910,2021-04-26 00:00:00,UTC
DATA,Streamr DATAcoin,Basic,682,791,794,525,2021-04-26 00:00:00,UTC
DAY,Chronologic,Fragile,275,470,200,48,2021-04-26 00:00:00,UTC
DCN,Dentacoin,Fragile,370,372,663,312,2021-04-26 00:00:00,UTC
DCR,Decred,Attractive,802,837,830,751,2021-04-26 00:00:00,UTC
DCT,DECENT,Fragile,234,213,354,237,2021-04-26 00:00:00,UTC
DENT,Dent,Caution,503,425,864,834,2021-04-26 00:00:00,UTC
DGB,DigiByte,Basic,698,611,854,777,2021-04-26 00:00:00,UTC
DGD,DigixDAO,Fragile,392,380,565,375,2021-04-26 00:00:00,UTC
DICE,Etheroll,Fragile,362,444,230,287,2021-04-26 00:00:00,UTC
DLT,Agrello,Fragile,201,275,747,121,2021-04-26 00:00:00,UTC
DMT,DMarket,Fragile,247,153,787,260,2021-04-26 00:00:00,UTC
DNT,district0x,Basic,676,583,775,773,2021-04-26 00:00:00,UTC
DOGE,Dogecoin,Attractive,866,827,905,907,2021-04-26 00:00:00,UTC
DRGN,Dragonchain,Caution,516,450,592,585,2021-04-26 00:00:00,UTC
DTA,DATA,Fragile,196,197,778,81,2021-04-26 00:00:00,UTC
DYN,Dynamic,Fragile,474,585,471,336,2021-04-26 00:00:00,UTC
EDG,Edgeless,Fragile,135,275,281,50,2021-04-26 00:00:00,UTC
ELA,Elastos,Basic,710,833,751,544,2021-04-26 00:00:00,UTC
ELEC,Electrify.Asia,Fragile,228,275,599,216,2021-04-26 00:00:00,UTC
ELF,aelf,Caution,610,683,851,472,2021-04-26 00:00:00,UTC
EMC2,Einsteinium,Fragile,302,238,729,300,2021-04-26 00:00:00,UTC
ENG,Enigma,Caution,558,801,716,226,2021-04-26 00:00:00,UTC
ENJ,Enjin Coin,Basic,736,560,872,930,2021-04-26 00:00:00,UTC
EOS,EOS,Superb,909,903,863,927,2021-04-26 00:00:00,UTC
