1. symbol,2. name,3. fcas rating,4. fcas score,5. developer score,6. market maturity score,7. utility score,8. last refreshed,9. timezone
TRAC,OriginTrail,Basic,698,718,747,664,2021-04-27 00:00:00,UTC
TRST,WeTrust,Fragile,309,359,252,260,2021-04-27 00:00:00,UTC
TRUE,TrueChain,Fragile,455,398,725,475,2021-04-27 00:00:00,UTC
TRX,TRON,Attractive,867,827,905,909,2021-04-27 00:00:00,UTC
TUSD,TrueUSD,Attractive,811,715,941,906,2021-04-27 00:00:00,UTC
UBQ,Ubiq,Fragile,466,601,530,287,2021-04-27 00:00:00,UTC
UKG,Unikoin Gold,Fragile,108,180,77,25,2021-04-27 00:00:00,UTC
UNO,Unobtanium,Fragile,245,232,306,250,2021-04-27 00:00:00,UTC
UP,UpToken,Fragile,125,300,223,37,2021-04-27 00:00:00,UTC
UTK,UTRUST,Fragile,222,450,848,151,2021-04-27 00:00:00,UTC
VEE,BLOCKv,Fragile,334,265,668,355,2021-04-27 00:00:00,UTC
VERI,Veritaseum,Fragile,292,375,362,419,2021-04-27 00:00:00,UTC
VIA,Viacoin,Fragile,408,375,787,375,2021-04-27 00:00:00,UTC
VIB,Viberate,Fragile,293,400,761,342,2021-04-27 00:00:00,UTC
VIBE,VIBE,Fragile,320,275,494,460,2021-04-27 00:00:00,UTC
VTC,Vertcoin,Basic,743,812,749,657,2021-04-27 00:00:00,UTC
WAN,Wanchain,Caution,581,637,832,462,2021-04-27 00:00:00,UTC
WAVES,Waves,Attractive,767,817,854,689,2021-04-27 00:00:00,UTC
WAX,WAX,Caution,568,539,200,679,2021-04-27 00:00:00,UTC
WCT,Waves Community Token,Caution,618,817,275,437,2021-04-27 00:00:00,UTC
WGR,Wagerr,Fragile,482,626,564,287,2021-04-27 00:00:00,UTC
WINGS,Wings,Fragile,328,402,431,217,2021-04-27 00:00:00,UTC
WPR,WePower,Fragile,247,155,769,259,2021-04-27 00:00:00,UTC
WTC,Waltonchain,Fragile,211,450,767,142,2021-04-27 00:00:00,UTC
XAS,Asch,Fragile,277,321,328,212,2021-04-27 00:00:00,UTC
XBY,XTRABYTES,Fragile,183,148,200,225,2021-04-27 00:00:00,UTC
XCP,Counterparty,Fragile,404,505,365,287,2021-04-27 00:00:00,UTC
XDN,DigitalNote,Fragile,294,238,624,300,2021-04-27 00:00:00,UTC
XLM,Stellar,Superb,903,919,800,904,2021-04-27 00:00:00,UTC
XMR,Monero,Attractive,874,845,857,915,2021-04-27 00:00:00,UTC
XPM,Primecoin,Fragile,486,616,746,275,2021-04-27 00:00:00,UTC
XRP,XRP,Basic,742,857,878,572,2021-04-27 00:00:00,UTC
XTZ,Tezos,Basic,733,670,864,787,2021-04-27 00:00:00,UTC
XVG,Verge,Basic,730,752,877,674,2021-04-27 00:00:00,UTC
YEE,YEE,Fragile,159,250,695,30,2021-04-27 00:00:00,UTC
ZCL,ZClassic,Fragile,269,283,344,237,2021-04-27 00:00:00,UTC
ZEC,Zcash,Attractive,848,833,873,863,2021-04-27 00:00:00,UTC
ZEN,Horizen,Attractive,881,826,873,951,2021-04-27 00:00:00,UTC
ZIL,Zilliqa,Attractive,877,850,887,910,2021-04-27 00:00:00,UTC
ZRX,0x,Attractive,860,857,815,872,2021-04-27 00:00:00,UTC
